Consolidated Statements of Cash Flows (Parenthetical),"Dec. 31, 2016",cik,timestamp,table_url,json_url
7.00% Senior Notes due 2024,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R10.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Interest rate, stated percentage",7.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R10.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
