Consolidated Statements of Comprehensive Loss - USD ($) $ in Millions,"Dec. 30, 2017","Dec. 31, 2016","Dec. 26, 2015",cik,timestamp,table_url,json_url
Net income (loss),43.0,-497.0,-660.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Unrealized gains (losses) arising during period, net of tax effects of $0, $1, and $0",1.0,0.0,-2.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Unrealized gains (losses) arising during period, net of tax effects of $0, $2, and $0",17.0,1.0,-22.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Reclassification adjustment for (gains) losses realized and included in net income (loss), net of tax effect of $1, $0, and $0",-7.0,2.0,21.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Total change in unrealized gains (losses) on cash flow hedges, net of tax",10.0,3.0,-1.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Total other comprehensive income (loss),11.0,3.0,-3.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Total comprehensive income (loss),54.0,-494.0,-663.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
