Consolidated Balance Sheets (Parenthetical) - $ / shares,"Dec. 31, 2016","Dec. 26, 2015",cik,timestamp,table_url,json_url
"Common stock, par value (USD per share)",0.01,0.01,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Common stock, shares authorized",1500000000.0,1500000000.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Common stock, shares issued",949000000.0,806000000.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Common stock, shares outstanding",935000000.0,792000000.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Treasury stock, shares",14000000.0,14000000.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
