Consolidated Statements of Comprehensive Loss - USD ($) $ in Millions,"Dec. 31, 2016","Dec. 26, 2015","Dec. 27, 2014",cik,timestamp,table_url,json_url
Net loss,-497.0,-660.0,-403.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Unrealized gains (losses) arising during period, net of tax effects of $1, $0 and $0",0.0,-2.0,0.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Unrealized gains (losses) arising during period, net of tax effects of $2, $0 and $0",1.0,-22.0,-9.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Reclassification adjustment for (gains) losses realized and included in net loss, net of tax effect of $0",2.0,21.0,6.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Total change in unrealized gains (losses) on cash flow hedges, net of tax",3.0,-1.0,-3.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Total other comprehensive income (loss),3.0,-3.0,-3.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Total comprehensive loss,-494.0,-663.0,-406.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
