Consolidated Balance Sheets - USD ($) $ in Millions,"Dec. 28, 2019","Dec. 29, 2018",cik,timestamp,table_url,json_url
Cash and cash equivalents,1466.0,1078.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Marketable securities,37.0,78.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Accounts receivable, net",1859.0,1235.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Inventories, net",982.0,845.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Prepayment and receivables--related parties,20.0,34.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Prepaid expenses and other current assets,233.0,270.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total current assets,4597.0,3540.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Property and equipment, net",500.0,348.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Operating lease right-of-use assets,205.0,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Goodwill,289.0,289.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Investment: equity method,58.0,58.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Other assets,379.0,321.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total assets,6028.0,4556.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Short-term debt, net",0.0,136.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Accounts payable,988.0,834.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Payables to related parties,213.0,207.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Accrued liabilities,1084.0,783.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Other current liabilities,74.0,24.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total current liabilities,2359.0,1984.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Long-term debt, net",486.0,1114.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Long-term operating lease liabilities,199.0,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Other long-term liabilities,157.0,192.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Commitments and contingencies (see Notes 17 and 18),,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Common stock, par value $0.01; 2,250 shares authorized, 1,175 shares issued and 1,170 shares outstanding as of December 28, 2019; 2,250 shares authorized, 1,010 shares issued and 1,005 shares outstanding as of December 29, 2018",12.0,10.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Additional paid-in capital,9963.0,8750.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Treasury stock, at cost (5 shares as of December 28, 2019 and December 29, 2018)",-53.0,-50.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Accumulated deficit,-7095.0,-7436.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Accumulated other comprehensive income (loss),0.0,-8.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total stockholders’ equity,2827.0,1266.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total liabilities and stockholders’ equity,6028.0,4556.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R4.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
