Consolidated Balance Sheets (Parenthetical) - $ / shares,"Dec. 29, 2018","Dec. 30, 2017",cik,timestamp,table_url,json_url
"Common stock, par value (USD per share)",0.01,0.01,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Common stock, shares authorized (shares)",2250000000.0,1500000000.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Common stock, shares issued (shares)",1010000000.0,979000000.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Common stock, shares outstanding (shares)",1005000000.0,967000000.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Treasury stock (shares),5000000.0,12000000.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
