Consolidated Balance Sheets (Parenthetical) - $ / shares,"Dec. 28, 2019","Dec. 29, 2018",cik,timestamp,table_url,json_url
"Common stock, par value (USD per share)",0.01,0.01,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Common stock, shares authorized (shares)",2250000000.0,2250000000.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Common stock, shares issued (shares)",1175000000.0,1010000000.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Common stock, shares outstanding (shares)",1170000000.0,1005000000.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Treasury stock (shares),5000000.0,5000000.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
