Consolidated Statements of Stockholders' Equity (Deficit) (Parenthetical),"Dec. 26, 2015",cik,timestamp,table_url,json_url
6.00% Convertible Senior Notes Due 2015,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R8.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Interest rate, stated percentage",6.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R8.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
