Consolidated Balance Sheets - USD ($) $ in Millions,"Dec. 26, 2015","Dec. 27, 2014",cik,timestamp,table_url,json_url
Cash and cash equivalents,785.0,805.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Marketable securities,0.0,235.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Accounts receivable, net",533.0,818.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Inventories, net",678.0,685.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Prepayments and other - GLOBALFOUNDRIES,33.0,113.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Prepaid expenses,43.0,32.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Other current assets,248.0,48.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Total current assets,2320.0,2736.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Property, plant and equipment, net",188.0,302.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Acquisition related intangible assets, net",0.0,65.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Goodwill,278.0,320.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Other assets,323.0,344.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Total assets,3109.0,3767.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Short-term debt,230.0,177.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Accounts payable,279.0,415.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Payable to GLOBALFOUNDRIES,245.0,218.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Accrued liabilities,472.0,518.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Other current liabilities,124.0,40.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
