Consolidated Balance Sheets - USD ($) $ in Millions,"Dec. 26, 2015","Dec. 27, 2014",cik,timestamp,table_url,json_url
Deferred income on shipments to distributors,53.0,72.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Total current liabilities,1403.0,1440.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Long-term debt,2032.0,2035.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Other long-term liabilities,86.0,105.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Commitments and contingencies (see Notes 15 and 16),,,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Common stock, par value $0.01; 1,500 shares authorized on December 26, 2015 and December 27, 2014; shares issued: 806 shares on December 26, 2015 and 788 shares on December 27, 2014; shares outstanding: 792 shares on December 26, 2015 and 776 shares on December 27, 2014",8.0,8.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Additional paid-in capital,7017.0,6949.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Treasury stock, at cost (14 shares on December 26, 2015 and 12 shares on December 27, 2014 )",-123.0,-119.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Accumulated deficit,-7306.0,-6646.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Accumulated other comprehensive loss,-8.0,-5.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Total stockholders’ equity (deficit),-412.0,187.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Total liabilities and stockholders’ equity (deficit),3109.0,3767.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
