"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions","Dec. 31, 2016","Dec. 26, 2015","Dec. 27, 2014",cik,timestamp,table_url,json_url
Net revenue,4272.0,3991.0,5506.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Cost of sales,3274.0,2911.0,3667.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Gross margin,998.0,1080.0,1839.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Research and development,1008.0,947.0,1072.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Marketing, general and administrative",460.0,482.0,604.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Amortization of acquired intangible assets,0.0,3.0,14.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Restructuring and other special charges, net",-10.0,129.0,71.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Licensing gain,-88.0,0.0,0.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Goodwill impairment charge,0.0,0.0,233.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Operating loss,-372.0,-481.0,-155.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Interest expense,-156.0,-160.0,-177.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Other income (expense), net",80.0,-5.0,-66.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Loss before equity loss and income taxes,-448.0,-646.0,-398.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Provision for income taxes,39.0,14.0,5.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Equity in income (loss) of ATMP JV,-10.0,0.0,0.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Net loss,-497.0,-660.0,-403.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Basic (USD per share),-0.6,-0.84,-0.53,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Diluted (USD per share),-0.6,-0.84,-0.53,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Basic (shares),835.0,783.0,768.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Diluted (shares),835.0,783.0,768.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
