Consolidated Balance Sheets - USD ($) $ in Millions,"Dec. 29, 2018","Dec. 30, 2017",cik,timestamp,table_url,json_url
Cash and cash equivalents,1078.0,1185.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Marketable securities,78.0,0.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Accounts receivable, net",1235.0,454.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Inventories, net",845.0,694.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Prepayment and receivables - related parties,52.0,33.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Prepaid expenses,57.0,77.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Other current assets,195.0,191.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Total current assets,3540.0,2634.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Property and equipment, net",348.0,261.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Goodwill,289.0,289.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Investment: equity method,58.0,58.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Other assets,321.0,310.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Total assets,4556.0,3552.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Short-term debt,136.0,70.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Accounts payable,528.0,384.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Payables to related parties,533.0,412.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Accrued liabilities,763.0,555.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Other current liabilities,24.0,92.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Total current liabilities,1984.0,1513.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Long-term debt, net",1114.0,1325.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Other long-term liabilities,192.0,118.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Commitments and contingencies (see Notes 18 and 19),,,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Common stock, par value $0.01; 2,250 shares authorized, 1,011 shares issued and 1,005 shares outstanding as of December 29, 2018; 1,500 shares authorized, 979 shares issued and 967 shares outstanding as of December 30, 2017",10.0,9.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Additional paid-in capital,8750.0,8464.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Treasury stock, at cost (5 shares as of December 29, 2018 and 12 shares as of December 30, 2017)",-50.0,-108.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R5.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
