Consolidated Statements of Cash Flows (Parenthetical),"Dec. 30, 2017","Dec. 31, 2016","Jun. 16, 2014",cik,timestamp,table_url,json_url
7.00% Senior Notes due 2024,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R10.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Interest rate, stated percentage",7.0,7.0,7.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R10.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
