"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions","Dec. 26, 2015","Dec. 27, 2014","Dec. 28, 2013",cik,timestamp,table_url,json_url
Net revenue,3991.0,5506.0,5299.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Cost of sales,2911.0,3667.0,3321.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Gross margin,1080.0,1839.0,1978.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Research and development,947.0,1072.0,1201.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Marketing, general and administrative",482.0,604.0,674.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Amortization of acquired intangible assets,3.0,14.0,18.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Restructuring and other special charges, net",129.0,71.0,30.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Goodwill impairment charge,0.0,233.0,0.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Legal settlements, net",0.0,0.0,-48.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Operating income (loss),-481.0,-155.0,103.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Interest expense,-160.0,-177.0,-177.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Other expense, net",-5.0,-66.0,0.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Loss before income taxes,-646.0,-398.0,-74.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Provision for income taxes,14.0,5.0,9.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Net loss,-660.0,-403.0,-83.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Basic,-0.84,-0.53,-0.11,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Diluted,-0.84,-0.53,-0.11,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Basic,783.0,768.0,754.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
Diluted,783.0,768.0,754.0,0000002488,2021-03-18 11:53:44,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
