Consolidated Statements of Comprehensive Income (Loss) - USD ($) $ in Millions,"Dec. 29, 2018","Dec. 30, 2017","Dec. 31, 2016",cik,timestamp,table_url,json_url
Net income (loss),337.0,-33.0,-498.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Unrealized gains (losses) arising during period, net of tax effects of $0, $0, $1",0.0,1.0,0.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Unrealized gains (losses) arising during period, net of tax effects of $0, $0, $2",-19.0,17.0,1.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Reclassification adjustment for (gains) losses realized and included in net income (loss), net of tax effect of $0, $1, $0",5.0,-7.0,2.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Total change in unrealized gains (losses) on cash flow hedges, net of tax",-14.0,10.0,3.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Total other comprehensive income (loss),-14.0,11.0,3.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Cumulative Effect on Retained Earnings, Net of Tax",2.0,0.0,0.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Total comprehensive income (loss),325.0,-22.0,-495.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
