Consolidated Balance Sheets (Parenthetical) - $ / shares,"Dec. 26, 2015","Dec. 27, 2014",cik,timestamp,table_url,json_url
"Common stock, par value",0.01,0.01,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Common stock, shares authorized",1500000000.0,1500000000.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Common stock, shares issued",806000000.0,788000000.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Common stock, shares outstanding",792000000.0,776000000.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
"Treasury stock, shares",14000000.0,12000000.0,0000002488,2021-03-18 11:53:45,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/index.json
